threshold,precision,recall,f1
0.05,0.6412802688870216,1.0,0.7814390766080238
0.06,0.6725684986380388,1.0,0.8042343248551037
0.07,0.689754334072796,1.0,0.8163959933871439
0.08,0.719119410656159,1.0,0.8366136827943594
0.09,0.7256461232604374,1.0,0.8410138248847926
0.09999999999999999,0.7274696707105719,1.0,0.8422372711311763
0.10999999999999999,0.7277219140083218,1.0,0.8424063017410065
0.12,0.7277850021673169,1.0,0.8424485699949824
0.13,0.7278481012658228,1.0,0.8424908424908425
0.13999999999999999,0.7279743322927507,1.0,0.8425754002107693
0.14999999999999997,0.7281006071118821,1.0,0.8426599749058972
0.15999999999999998,0.7282269257460097,1.0,0.8427445665813381
0.16999999999999998,0.7282269257460097,1.0,0.8427445665813381
0.18,0.7284561312158292,0.9998808814770697,0.8428557084044582
0.19,0.7288989232372352,0.9998808814770697,0.8431520265180051
0.19999999999999996,0.7289622231871472,0.9998808814770697,0.8431943746860874
0.20999999999999996,0.7295488133530383,0.9996426444312091,0.8435018594833652
0.21999999999999997,0.7297391304347826,0.9996426444312091,0.8436290525257603
0.22999999999999998,0.731228743350484,0.9988088147706968,0.8443258483536401
0.24,0.7322614470464872,0.9982132221560452,0.8448006451938102
0.24999999999999994,0.7341050600719109,0.9971411554496724,0.845640973835741
0.25999999999999995,0.7340584159284274,0.9969029184038118,0.8455243483532027
0.26999999999999996,0.7349323493234933,0.9964264443120905,0.8459321433988977
0.27999999999999997,0.7354492702655179,0.9964264443120905,0.8462744701300016
0.29,0.7365918097754294,0.9963073257891603,0.8469873417721518
0.3,0.7398597674625011,0.9929720071471114,0.8479300172922388
0.30999999999999994,0.7416651809591728,0.9910661107802263,0.8484168663641463
0.31999999999999995,0.7442799461641992,0.9880881477069684,0.8490276356192425
0.32999999999999996,0.744720999191302,0.9872543180464562,0.8490063511575496
0.33999999999999997,0.7470673163688865,0.9861822513400834,0.85013092365354
0.3499999999999999,0.748730964467005,0.9839189994044074,0.850362896999022
0.35999999999999993,0.749818247909851,0.9828469326980346,0.8506624052786226
0.36999999999999994,0.7507064078023881,0.9810601548540798,0.8505628420943923
0.37999999999999995,0.7553054069016424,0.9751042287075641,0.8512452555503561
0.38999999999999996,0.7569772832637923,0.9724836212030971,0.851303441084463
0.3999999999999999,0.7585274930102517,0.9695056581298392,0.8511372549019608
0.4099999999999999,0.7623305722891566,0.9647409172126266,0.8516746411483254
0.41999999999999993,0.7646057855927396,0.963430613460393,0.8525799820797976
0.42999999999999994,0.7699106542415217,0.9546158427635497,0.8523718357796214
0.43999999999999995,0.7710379356826497,0.9539011316259678,0.8527767424524786
0.4499999999999999,0.771999611914233,0.9478260869565217,0.8509250347556411
0.4599999999999999,0.775704605715408,0.9409172126265635,0.8503606416191194
0.4699999999999999,0.7832076420311714,0.9278141751042287,0.8494002181025082
0.4799999999999999,0.7903957131079967,0.9136390708755211,0.847560638709321
0.48999999999999994,0.7934952569581987,0.9067301965455629,0.8463420057816322
0.49999999999999994,0.7963256255939183,0.8983918999404408,0.8442852345236762
0.5099999999999999,0.7976620616365568,0.8941036331149493,0.8431339511373209
0.5199999999999999,0.800427807486631,0.8914830256104824,0.843505212735982
0.5299999999999999,0.8025519031141869,0.8840976771888028,0.8413535113076007
